ID	Choice	Distance	School_location	Grade	Age	Gender	CarAvail	Season	CB_location	Leistung
4434	3	7.63418	0	12	17	0	0	0	0	505.46
4435	3	5.27641	0	8	15	0	0	0	0	276.38
4436	2	1.64386	0	8	13	1	0	0	0	6.93
4438	1	0.586175	0	8	14	0	0	0	0	12.56
4439	1	0.920391	0	8	14	1	0	0	0	34.16
4440	1	0.586175	0	8	14	0	0	0	0	12.56
4441	3	3.29709	0	8	14	1	0	0	0	2.30
4442	3	5.57415	0	8	14	1	0	0	0	3.55
4443	1	0.586175	0	8	14	1	0	0	0	13.06
4444	1	0.379281	0	8	14	0	0	0	0	27.01
4445	3	8.65009	0	8	14	0	0	0	1	1316.67
